question,source,quality,intimacy,tags,multi player
In what ways are you inhibited from expressing love?,askhole,4,4,relationships; emotional; personal,1
What difficult or painful experience would you recommend to everyone?,askhole,1,2,personal,1
What's the most intense emotional pain you've ever experienced?,askhole,5,4,emotional; personal,1
In what ways don't you trust yourself?,askhole,3,3,personal,1
How have you disappointed your parents?,askhole,4,4,personal,1
What about yourself have you been trying to fix for a long time?,askhole,5,4,personal; work,1
"If you had to choose one, would you rather double or halve your sex drive?",askhole,2,3,personal; sex; would you rather,1
How would you raise a child differently from how your parents raised you?,askhole,5,3,personal; emotional,1
What was the last thing you cried about? When was it?,askhole,4,4,personal; emotional,1
What was the most difficult thing you've ever had to do?,askhole,3,3,personal; emotional; work,1
In what ways do you tend to fail at communication?,askhole,3,3,personal; emotional,1
What is currently your greatest insecurity?,askhole,5,4,personal; emotional,1
Which of your habits conflict with your vales?,askhole,4,3,personal; emotional,1
What aspect about the person to your left gives you the strongest negative feeling?,askhole,5,5,personal; emotional,1
What do you still owe someone an apology for?,askhole,2,3,personal; emotional,1
What's the most sick (mental or physical) you've ever been?,askhole,2,3,personal; emotional,1
Who do you hate most?,askhole,2,3,personal; emotional,1
What is your biggest obstacle toward peace?,askhole,1,3,personal; emotional,1
What about your appearance would you like to change?,askhole,3,5,personal; emotional,1
What have you done that you are most ashamed of?,askhole,2,5,personal; emotional,1
Are you afraid of death? Why or why not?,askhole,2,2,personal; emotional,1
How do you heal from painful experiences? How do you know when you're done healing?,askhole,1,3,personal; emotional,1
What was your biggest financial mistake?,askhole,3,4,personal,1
What's the most intense physical pain you've ever experienced?,askhole,3,3,personal,1
How often and in what ways does fear show up in you?,askhole,3,3,personal; emotional,1
"What have you planned in greater detail: killing yourself, or killing someone else?",askhole,2,3,personal,1
What problems do you see in the relationships of those around you?,askhole,5,3,relationships,1
You have to marry someone in this room right now. Who is it?,askhole,3,5,emotional; relationships,1
Is there anything which arouses you that you've never admitted to anybody?,askhole,3,5,sex,1
What unusual trait do you find most attractive in a romantic partner?,askhole,4,2,sex; relationships,1
"Out of all your past sexual experiences, what has made you most uncomfortable?",askhole,3,4,sex,1
"If you were invited to an all-nude party, where all the participants are required to be naked the whole time, would you go?",askhole,3,3,relationships; personal,1
"When you introspect, away from society and your physical body, deep inside, do you feel a sense of gender?",askhole,2,2,sex; personal,1
What were the conditions of your last break-up?,askhole,3,3,relationships,1
"Would you rather fuck your girlfriend who is inhabiting your mother's body, or your mother who is inhabiting your girlfriend's body? (If you date men, switch it to boyfriend and father.)",askhole,2,4,sex; relationships; would you rather,1
"In total, have you given or received more oral sex?",askhole,3,4,sex; relationships,1
What's one of the most adventurous things you've ever done in bed?,askhole,4,5,sex,1
Would you date yourself?,askhole,4,2,relationships,1
What percentage of your preferred age/gender demographic would you be down to have sex with after roughly an hour of flirting?,askhole,4,2,sex,1
"Have you ever been in an open or polyamorous relationship? If not, would you consider it?",askhole,3,2,sex; relationships; yes/no,1
Could you have a serious relationship with someone who expressed that they thought they were unworthy of the relationship?,askhole,2,2,relationships; yes/no,1
Have you ever dated someone who you felt was below your standards?,askhole,3,4,relationships; yes/no,1
How easy is it for you to orgasm?,askhole,2,4,sex,1
Do you ever feel guilt or shame for romantically rejecting people who are interested in you?,askhole,2,2,relationships; yes/no,1
"If you could press a button and double the sex drive of all women on earth, would you do it?",askhole,3,3,sex; yes/no,1
"If you tried, could you list the names of everyone you've had sex with?",askhole,2,4,sex; relationships; yes/no,1
"Are yelling fights in relationships more typical and inevitable, or terrible and avoidable?",askhole,2,2,relationships,1
What was your most disappointing sexual experience?,askhole,4,4,sex,1
What emotion/feeling are you currently suppressing or ignoring?,askhole,2,4,emotional,1
Who in the room do you admire the most?,askhole,5,3,warm and fuzzy,1
Did your parents do a good job?,askhole,5,3,personal,1
What are the signs that someone understands you uniquely?,askhole,3,3,personal,1
"What is the best advice you've received, and why did you need it?",askhole,3,3,personal,1
What are you waiting to hear from someone close to you?,askhole,2,4,personal,1
What do you most admire about the person to your right?,askhole,5,4,warm and fuzzy,1
"At the gut level, do you feel that the world is safe or not safe?",askhole,2,2,emotional,1
"Would you rather increase the amount that people respect you, or increase the amount they desire you?",askhole,3,3,personal; would you rather,1
What relatively common experience have you never had?,askhole,3,3,personal,1
Do you ever enjoy the experience of emotional pain?,askhole,3,4,personal; emotional,1
Have you been loved enough?,askhole,3,5,emotional; personal; yes/no,1
"Have you ever had (what you considered to be) a spiritual experience? If so, what was it like and what effects did it have on you?",askhole,2,3,personal,1
"Do you feel a greater sense of satisfaction when you gain approval from people who are very similar to you, or very different from you?",askhole,4,2,personal; work,1
"If you could have one but not the other, would you rather love someone or be loved by someone?",askhole,3,3,personal; relationships,1
What kind of people do you get along best with?,askhole,4,2,personal,1
Whihc of your achievements are you most proud of?,askhole,3,3,personal; work,1
Given the guarantee that nobody will ask you the question: What is a question that you would refuse to answer?,askhole,2,5,personal,1
How boring are you?,askhole,2,4,personal,1
Do you have more thoughts or more feelings?,askhole,1,2,personal; emotional,1
What are your coping mechanisms for stress?,askhole,2,2,personal; emotional; work,1
Would you rather double the amount of emotional pain and pleasure you feel on a daily basis or cut both in half?,askhole,2,2,emotional,1
What is the most interesting fact about you the few people know?,askhole,2,3,personal,1
Which of your personality traits are you most proud of?,askhole,5,4,personal,1
"Which group is larger: people who trust you, or people you trust?",askhole,3,3,personal,1
What is the most significant thing you've ever changed your mind about?,askhole,5,2,intellectual,1
"If you could ask everybody in the world one question, what would it be? You don't get to hear their answers.",askhole,3,1,intellectual,1
Are some human lives worth more than others?,askhole,2,3,intellectual; controversial,1
"You must pick a number right now and live that many years total, in good physical health. You can't die before, and you can't extend after. How many years do you choose to live?",askhole,3,1,intellectual,1
"Do you consider the state of ""unconditionally loving everyone"" to be desirable or undesirable for you, given it were possible?",askhole,3,2,emotional,1
"Are there any thoughts so offensive that you would advocate shaming those who think them, even if they don't act on those thoughts?",askhole,2,3,intellectual; yes/no,1
"Which of your beliefs would be the most difficult to change, even in the face of overwhelming evidence?",askhole,4,3,intellectual,1
"Are there any cases in which you would support forced, involuntary brain modification to change someone else's mind, urges, or behavior?",askhole,3,4,intellectual; yes/no,1
You can make a designer baby. Would you rather optimize it primarily for intelligence or happiness/optimism?,askhole,3,4,intellectual; personal; would you rather,1
What do you think enlightenment is?,askhole,2,2,intellectual,1
"Do you believe the set of concepts like ""duty"", ""should"", ""obligation"", and ""deserving"" are ultimately more valid or meaningless?",askhole,3,2,intellectual,1
"If you could press a button that would make you feel deeply and permanently that everything was ok, would you? Assume that you'd remain functional in the world.",askhole,2,3,emotional; yes/no,1
Can someone both be a kind person and also hold the exact opposite of your political views?,askhole,3,3,intellectual; controversial; yes/no,1
"If you could, would you wirehead (i.e. hook yourself up to a hypothetical machine that makes you totally and eternally happy and satisfied)?",askhole,3,2,yes/no,1
